Anio,Mes,CodigoPais,PaisDestino,CodigoDepto,DepartamentoOrigen,Partida,CantidadUnidades,ValorMilesFOBDol,ValorMilesPesos
2018,Agosto,245,España,25,Cundinamarca,0803901200 - Bananas bocadillo (manzanito- orito) (Musa acuminata)- frescas,1098,2.35,6968.77
2018,Agosto,275,Francia,11,Bogotá,0803901200 - Bananas bocadillo (manzanito- orito) (Musa acuminata)- frescas,222849.98,616.34,1832058.84
2018,Agosto,275,Francia,25,Cundinamarca,0803901200 - Bananas bocadillo (manzanito- orito) (Musa acuminata)- frescas,12159.33,43.42,130703.16
2018,Agosto,386,Italia,11,Bogotá,0803901200 - Bananas bocadillo (manzanito- orito) (Musa acuminata)- frescas,462,1.11,3308.58
2018,Agosto,386,Italia,73,Tolima,0803901200 - Bananas bocadillo (manzanito- orito) (Musa acuminata)- frescas,447,1.07,3244.17
2018,Agosto,413,Kuwait,11,Bogotá,0803901200 - Bananas bocadillo (manzanito- orito) (Musa acuminata)- frescas,18,0.05,142.99
2018,Agosto,455,Malasia,11,Bogotá,0803901200 - Bananas bocadillo (manzanito- orito) (Musa acuminata)- frescas,30,0.17,502.9
2018,Agosto,573,Países Bajos,11,Bogotá,0803901200 - Bananas bocadillo (manzanito- orito) (Musa acuminata)- frescas,40.54,0.12,353.71
2018,Agosto,580,Panamá,25,Cundinamarca,"0803102000 - ""PLATANOS """"PLANTAINS"""" SECOS.""",15.84,1.11,3378.86
2018,Agosto,607,Portugal,11,Bogotá,0803901200 - Bananas bocadillo (manzanito- orito) (Musa acuminata)- frescas,90,0.2,600.86
2018,Agosto,607,Portugal,25,Cundinamarca,0803901200 - Bananas bocadillo (manzanito- orito) (Musa acuminata)- frescas,144,0.32,969.66
2018,Agosto,767,Suiza,25,Cundinamarca,0803901200 - Bananas bocadillo (manzanito- orito) (Musa acuminata)- frescas,1080,3.6,10576.63
2018,Agosto,23,Alemania,47,Magdalena,"0803901100 - ""Bananas o plátanos frescos del tipo """"cavendish valery"""".""",3117197,1422.21,4190070.35
2018,Agosto,87,Bélgica,47,Magdalena,"0803901100 - ""Bananas o plátanos frescos del tipo """"cavendish valery"""".""",17681458.34,7939.29,23480908.23
2018,Agosto,249,Estados Unidos,47,Magdalena,"0803901100 - ""Bananas o plátanos frescos del tipo """"cavendish valery"""".""",42359178,19158.07,57173058.7
2018,Agosto,386,Italia,47,Magdalena,"0803901100 - ""Bananas o plátanos frescos del tipo """"cavendish valery"""".""",335976,219.51,655495.72
2018,Agosto,399,Japón,47,Magdalena,"0803901100 - ""Bananas o plátanos frescos del tipo """"cavendish valery"""".""",252720,196.88,581796.71
2018,Agosto,573,Países Bajos,47,Magdalena,"0803901100 - ""Bananas o plátanos frescos del tipo """"cavendish valery"""".""",5777806.6,2868.15,8480088.81
2018,Agosto,628,Reino Unido,20,Cesar,"0803901100 - ""Bananas o plátanos frescos del tipo """"cavendish valery"""".""",517549,276.18,803388.85
2018,Agosto,628,Reino Unido,47,Magdalena,"0803901100 - ""Bananas o plátanos frescos del tipo """"cavendish valery"""".""",13617478.8,6479.96,19196666.25
2018,Agosto,767,Suiza,47,Magdalena,"0803901100 - ""Bananas o plátanos frescos del tipo """"cavendish valery"""".""",2015277.24,974.88,2904507.07
